date,member_count,required_member_count,status
2012-08-13,14,200,BLOCKED
2012-08-14,14,200,BLOCKED
2012-08-16,14,200,BLOCKED
2012-08-17,14,200,BLOCKED
2012-08-21,14,200,BLOCKED
2012-08-22,14,200,BLOCKED
2012-08-23,14,200,BLOCKED
2012-08-24,14,200,BLOCKED
2012-08-27,14,200,BLOCKED
2012-08-28,14,200,BLOCKED
2012-08-29,14,200,BLOCKED
2012-08-30,14,200,BLOCKED
2012-08-31,14,200,BLOCKED
2012-09-03,14,200,BLOCKED
2012-09-04,14,200,BLOCKED
2012-09-05,14,200,BLOCKED
2012-09-06,14,200,BLOCKED
2012-09-07,14,200,BLOCKED
2012-09-10,14,200,BLOCKED
2012-09-11,14,200,BLOCKED
2012-09-12,14,200,BLOCKED
2012-09-13,14,200,BLOCKED
2012-09-14,14,200,BLOCKED
2012-09-17,14,200,BLOCKED
2012-09-18,14,200,BLOCKED
2012-09-20,14,200,BLOCKED
2012-09-21,14,200,BLOCKED
2012-09-24,14,200,BLOCKED
2012-09-25,14,200,BLOCKED
2012-09-26,14,200,BLOCKED
2012-09-27,14,200,BLOCKED
2012-09-28,26,200,BLOCKED
2012-10-01,26,200,BLOCKED
2012-10-03,26,200,BLOCKED
2012-10-04,26,200,BLOCKED
2012-10-05,26,200,BLOCKED
2012-10-08,26,200,BLOCKED
2012-10-09,26,200,BLOCKED
2012-10-10,26,200,BLOCKED
2012-10-11,26,200,BLOCKED
2012-10-12,26,200,BLOCKED
2012-10-15,26,200,BLOCKED
2012-10-16,26,200,BLOCKED
2012-10-17,26,200,BLOCKED
2012-10-18,26,200,BLOCKED
2012-10-19,26,200,BLOCKED
2012-10-22,26,200,BLOCKED
2012-10-23,26,200,BLOCKED
2012-10-25,26,200,BLOCKED
2012-10-26,26,200,BLOCKED
2012-10-29,26,200,BLOCKED
2012-10-30,26,200,BLOCKED
2012-10-31,26,200,BLOCKED
2012-11-01,26,200,BLOCKED
2012-11-02,26,200,BLOCKED
2012-11-05,26,200,BLOCKED
2012-11-06,26,200,BLOCKED
2012-11-07,26,200,BLOCKED
2012-11-08,26,200,BLOCKED
2012-11-09,26,200,BLOCKED
2012-11-12,26,200,BLOCKED
2012-11-13,26,200,BLOCKED
2012-11-15,26,200,BLOCKED
2012-11-16,26,200,BLOCKED
2012-11-19,26,200,BLOCKED
2012-11-20,26,200,BLOCKED
2012-11-21,26,200,BLOCKED
2012-11-22,26,200,BLOCKED
2012-11-23,26,200,BLOCKED
2012-11-26,26,200,BLOCKED
2012-11-27,26,200,BLOCKED
2012-11-29,26,200,BLOCKED
2012-11-30,26,200,BLOCKED
2012-12-03,26,200,BLOCKED
2012-12-04,26,200,BLOCKED
2012-12-05,26,200,BLOCKED
2012-12-06,26,200,BLOCKED
2012-12-07,26,200,BLOCKED
2012-12-10,26,200,BLOCKED
2012-12-11,26,200,BLOCKED
2012-12-12,26,200,BLOCKED
2012-12-13,26,200,BLOCKED
2012-12-14,26,200,BLOCKED
2012-12-17,26,200,BLOCKED
2012-12-18,26,200,BLOCKED
2012-12-19,26,200,BLOCKED
2012-12-20,26,200,BLOCKED
2012-12-21,26,200,BLOCKED
2012-12-24,26,200,BLOCKED
2012-12-26,26,200,BLOCKED
2012-12-27,26,200,BLOCKED
2012-12-28,26,200,BLOCKED
2012-12-31,26,200,BLOCKED
2013-01-01,26,200,BLOCKED
2013-01-02,26,200,BLOCKED
2013-01-03,26,200,BLOCKED
2013-01-04,26,200,BLOCKED
2013-01-07,26,200,BLOCKED
2013-01-08,26,200,BLOCKED
2013-01-09,26,200,BLOCKED
2013-01-10,26,200,BLOCKED
2013-01-11,26,200,BLOCKED
2013-01-14,26,200,BLOCKED
2013-01-15,26,200,BLOCKED
2013-01-16,26,200,BLOCKED
2013-01-17,26,200,BLOCKED
2013-01-18,26,200,BLOCKED
2013-01-21,26,200,BLOCKED
2013-01-22,26,200,BLOCKED
2013-01-23,26,200,BLOCKED
2013-01-24,26,200,BLOCKED
2013-01-25,26,200,BLOCKED
2013-01-28,26,200,BLOCKED
2013-01-29,26,200,BLOCKED
2013-01-30,26,200,BLOCKED
2013-01-31,26,200,BLOCKED
2013-02-01,26,200,BLOCKED
2013-02-04,26,200,BLOCKED
2013-02-05,26,200,BLOCKED
2013-02-06,26,200,BLOCKED
2013-02-07,26,200,BLOCKED
2013-02-08,26,200,BLOCKED
2013-02-11,26,200,BLOCKED
2013-02-12,26,200,BLOCKED
2013-02-13,26,200,BLOCKED
2013-02-14,26,200,BLOCKED
2013-02-15,26,200,BLOCKED
2013-02-18,26,200,BLOCKED
2013-02-19,26,200,BLOCKED
2013-02-20,26,200,BLOCKED
