source_url,source_tier,status,local_path,hash_status,file_size
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataFeb2015.zip,PASS,654689
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMar2015.zip,PASS,654774
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataApr2015.zip,PASS,654670
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataMay2015.zip,PASS,653582
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJun2015.zip,PASS,774895
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataJul2015.zip,PASS,774788
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataAug2015.zip,PASS,774881
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataSep2015.zip,PASS,774607
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataOct2015.zip,PASS,774798
https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2015.zip,A1,downloaded,C:\Users\Shukla\AppData\Local\Temp\nifty200-pit-security-master\data\raw\nifty200_pit_public_sources\monthly_weightage\indices_dataNov2015.zip,PASS,1942654
