checkpoint_date,official_count,replay_count,missing_count,unexpected_count,unresolved_identity_count,symbol_alias_match_count,duplicate_identity_count,source_url,source_sha256,status,comparison_basis
2013-04-18,200,37,164,1,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2013.zip,4942c0f021abcd6ed9702c343c2696ec44cfa8022c7e37448f8a78c075c4a16d,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2013-05-31,200,37,164,1,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2013.zip,9cf239c8c11a5682076c1808a2babc7a2b7310ebf38181750256e5c3317c5cfb,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2013-06-28,200,37,164,1,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2013.zip,102a895ee36349c392c84e840f556c4c9fbf1a5c845d787c30c9ea949e7eb8ea,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2013-07-31,200,37,164,1,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2013.zip,8a71ec4b22f398e81bf1ea12026594ad474e74dc7b077f2627b3c883cd3aff56,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2013-08-30,200,37,164,1,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2013.zip,5a7a866768f1001ed1948f5c6731ff83ccbc271a125865cd4c89d52ce04e8b7d,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2013-09-30,200,44,157,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2013.zip,9527c053b55c0947d5709f568ac0f12e5a3ebdd73fc0dad941f448ca5ea1abfb,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2013-10-31,200,44,157,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2013.zip,a6b5e1db29dd4d6dc215be54abcfcecc51b25b9993a0ac55cf24587fca191b9a,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2013-11-29,200,46,155,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2013.zip,f26e53d07a3197bab0b964de65ef1b559260841ea060c569cf8418765df74926,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2013-12-31,200,46,155,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2013.zip,2009a6339e017910705b8f6ecefd4ef5cd73b18e480c30dbed3bf1b6d408b949,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-01-31,200,46,154,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2014.zip,5f1e285f0fc9adbb1a5e476cbd0fb6f477ed0a4f98f3e9696bbd3d5e50eb8c89,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-02-28,200,47,153,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2014.zip,e96f7d514d0c3622c7cfa0d9aca8317424944aa95e675d074d5385953af0c61b,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-03-31,200,55,145,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2014.zip,7b0c97176339efced89177a8de1c0781e873c20e627e3c7328a78ccce631a646,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-04-30,200,55,145,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2014.zip,03e8cd5b92e0e89c342148f0a976343e2d13fb9a80dca802c72c14a381e3dd50,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-05-30,200,55,145,0,0,2,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2014.zip,3686404c96b45f0cb3a0c9eb80027142cba84f32e92f4985ce22e68c82c23908,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-06-30,200,55,145,0,0,2,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2014.zip,6bc8235964206040fdd5a1b30c4a9982ff43163898a745b75e0e14bdcb78f236,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-07-31,200,55,145,0,0,2,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2014.zip,6eb78ea8686d5b9e1bd79b674b85ec402b3a4ecd2275fca069fac02316ebd387,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-08-28,200,55,145,0,0,2,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2014.zip,6602912e34d6b6fc66f1cda520094669029c006ae89a2ac0e5aa0a3fe82af360,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-09-30,200,63,138,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2014.zip,e000af7962c2f9a92ab273e7dcda50fc31f975cd69774e8d9f7a6ad2fa8d7e98,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-10-31,200,63,138,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2014.zip,326818b807b2efe6d62169aa4a383cf149e21b3f31acf45654db442bf22a671e,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-11-28,200,64,137,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2014.zip,e343f7c3cadac3285a9efc47c612fe0e546449bbc56824979d203bd3dfb30244,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2014-12-31,200,64,137,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2014.zip,5424204047e97c6004fc5b64c21df95dea21cb48123fd1251bc2d820e3db94fb,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-01-30,200,64,137,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2015.zip,4b8230dfbd9a6cefe435506a87fe6f4bd1b86b02eeb4428b87b6996e39d975f8,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-02-28,200,64,137,1,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2015.zip,70bdbafdd986d21bee92c3920f9485b3a7c0e7d08aae8ef6d5420d874f6a8aac,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-03-31,200,67,135,2,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2015.zip,22ee982f384ae02216d9ac3e66e6fda2593597c07c2d0d269be1c757b9ddfc74,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-04-30,200,67,135,2,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2015.zip,80567e4f49b72c9149248e443c81c18566b23c2af0e87792d33f45748faa7b34,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-05-29,200,69,133,2,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2015.zip,094e9a7efb4e38d84b3c69e0abd029b6571af6814fe8826bef4187b375525f1f,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-06-30,200,69,133,2,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2015.zip,ddfacfa68a3690a47cfee6984db19e3b09e0fa5bae4e42f8947607cc0c2972bf,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-07-31,200,69,133,2,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2015.zip,4fed8b262a38e69d6ba9d9e3f67947e0d74f0da544ab958ecc6cb59731ec6954,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-08-31,200,69,133,2,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2015.zip,726ce81d4aea21d3d836940ab3f1fd242502f646d9935e3bfe7876548828eaba,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-09-30,200,75,129,4,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2015.zip,65ba286fad3ea0bc2616e599e438df4dc4156524ce81b4e270eeca4c66cc273f,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-10-30,200,76,128,4,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2015.zip,4516bcfc6aa1b90a669191f42a979d92004962ec123114075e6514768154e251,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-11-30,200,76,128,4,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2015.zip,92fb39a68dc0fd31fb16d7bf241c6d45311f8ff9766ad264387a64ebe0b7a760,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2015-12-31,200,76,128,4,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2015.zip,ee21d99b90cd5634725d95ebd84f2488db4fa6f4bd4f151e11cb0a60706308e9,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-01-29,200,76,124,0,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2016.zip,e433e6f2f94f9a94d150f2fbdc178d6a63ee3d3771d2d1c7e3794db9b6d00535,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-02-29,200,76,124,0,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2016.zip,eceed489ee1a258fec43972a6f5f6a3c3cfeb5f3357d3842a2542cdb67ec2046,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-03-31,200,76,124,0,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2016.zip,b0f6a0c799f058e23da93c0c7f26e47d45e25b29df814e19c3742a6421539c3e,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-04-29,201,89,112,0,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2016.zip,85ecfe81fd09d784f824484632c36a83ae91cc549f1fa32a51140a4b0032cbeb,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-05-31,201,89,112,0,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2016.zip,16620ce06f3c1a8626cdebd5132f47aee14a95a02e19a91f8af87396f937dd57,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-06-30,201,89,112,0,0,0,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2016.zip,b0f2dc3ba02242814dc89c218959c15b2cedbd8d6c71da1c58dc349bef2f081c,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-07-29,201,89,112,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJul2016.zip,cb0f3c78c9052e199c5733510e7028bb6f54ca2d006dcf6e4a4eefe1d4995043,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-08-31,201,89,112,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataAug2016.zip,cb278d22b5cb92d6b6a40acf92d71a2bdd2a0e086bfa22ecd74c43e1e5d5334c,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-09-30,201,90,111,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataSep2016.zip,bd879a4c90b5d90627166c3bb7d003a7820e4b9e6cc444695becb0886cfc0ea4,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-10-30,201,90,111,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataOct2016.zip,0bc2d0625aae3b09298be89a950f4ff666a382ab4ee0adcbe2782e4ac32a3fc6,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-11-30,201,91,110,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataNov2016.zip,7da21fa45e791684d560304b79a4c7c50b0569b21dc99df76b3f78e1fe6eebfe,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2016-12-30,201,91,110,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataDec2016.zip,6ab11b44e137b11a1c8aaddc3e8145407bacb4f615a95ca37083d9559c572e37,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2017-01-31,201,91,110,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJan2017.zip,1c522f49e40ca08f134f206ad9b9b103e5c448839be17392950a78348b3fec5a,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2017-02-28,201,91,110,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataFeb2017.zip,6e957a8608770bf6612725a696664ea87a24584f15c336d0cec73f7e30a88305,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2017-03-31,201,91,110,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMar2017.zip,66bdfcfd18ca314ee8c6f83d5b7fe510dcee0187d6186e190959246517dd7eae,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2017-04-28,201,91,110,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataApr2017.zip,8d0f098b666e0554677af2d944447d5222de90c45ec7dab61a1ab48bdb5c53ad,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2017-05-31,201,92,109,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataMay2017.zip,0bc2df7470b2d2f94de9a91bed643b23ee1171451feab2179423f7192d2e826d,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
2017-06-30,201,92,109,0,0,1,0,https://www.niftyindices.com/Indices_-_Market_Capitalisation_and_Weightage/indices_dataJun2017.zip,907fca09784c59d663516fc4b36db89100744c9aab056d222d33adf8a2ef1d6b,BLOCKED,AUTHORITATIVE_INTERVALS_WITH_PERIOD_VALID_IDENTITIES
