blocker_type,before_count,after_count,resolution_status,resolution_source,notes
COUNT_NOT_200,3659,3659,UNRESOLVED,anchor_replay_candidate.parquet,Diagnostic reverse replay is not consumed by authoritative validation; blocker count unchanged.
DUPLICATE_EVENT,10,10,UNRESOLVED,anchor_replay_candidate.parquet,Diagnostic reverse replay is not consumed by authoritative validation; blocker count unchanged.
MISSING_ANNOUNCEMENT_DATE,56,56,UNRESOLVED,anchor_replay_candidate.parquet,Diagnostic reverse replay is not consumed by authoritative validation; blocker count unchanged.
MISSING_DURABLE_IDENTITY,15,15,UNRESOLVED,anchor_replay_candidate.parquet,Diagnostic reverse replay is not consumed by authoritative validation; blocker count unchanged.
MISSING_INITIAL_ANCHOR,144,144,UNRESOLVED,anchor_replay_candidate.parquet,Diagnostic reverse replay is not consumed by authoritative validation; blocker count unchanged.
MISSING_OFFICIAL_EVENT,2,2,UNRESOLVED,anchor_replay_candidate.parquet,Diagnostic reverse replay is not consumed by authoritative validation; blocker count unchanged.
MONTHLY_SNAPSHOT_MISSING,69,69,UNRESOLVED,anchor_replay_candidate.parquet,Diagnostic reverse replay is not consumed by authoritative validation; blocker count unchanged.
CONFLICT_CRITICAL,154,154,UNRESOLVED,conflict_report.parquet,No conflict was auto-resolved by the anchor diagnostic.
CONFLICT_HIGH,74,74,UNRESOLVED,conflict_report.parquet,No conflict was auto-resolved by the anchor diagnostic.
