date,member_count,required_member_count,status
2012-09-17,12,200,BLOCKED
2012-09-18,12,200,BLOCKED
2012-09-20,12,200,BLOCKED
2012-09-21,12,200,BLOCKED
2012-09-24,12,200,BLOCKED
2012-09-25,12,200,BLOCKED
2012-09-26,12,200,BLOCKED
2012-09-27,12,200,BLOCKED
2012-09-28,24,200,BLOCKED
2012-10-01,24,200,BLOCKED
2012-10-03,24,200,BLOCKED
2012-10-04,24,200,BLOCKED
2012-10-05,24,200,BLOCKED
2012-10-08,24,200,BLOCKED
2012-10-09,24,200,BLOCKED
2012-10-10,24,200,BLOCKED
2012-10-11,24,200,BLOCKED
2012-10-12,24,200,BLOCKED
2012-10-15,24,200,BLOCKED
2012-10-16,24,200,BLOCKED
2012-10-17,24,200,BLOCKED
2012-10-18,24,200,BLOCKED
2012-10-19,24,200,BLOCKED
2012-10-22,24,200,BLOCKED
2012-10-23,24,200,BLOCKED
2012-10-25,24,200,BLOCKED
2012-10-26,24,200,BLOCKED
2012-10-29,24,200,BLOCKED
2012-10-30,24,200,BLOCKED
2012-10-31,24,200,BLOCKED
2012-11-01,24,200,BLOCKED
2012-11-02,24,200,BLOCKED
2012-11-05,24,200,BLOCKED
2012-11-06,24,200,BLOCKED
2012-11-07,24,200,BLOCKED
2012-11-08,24,200,BLOCKED
2012-11-09,24,200,BLOCKED
2012-11-12,24,200,BLOCKED
2012-11-13,24,200,BLOCKED
2012-11-15,24,200,BLOCKED
2012-11-16,24,200,BLOCKED
2012-11-19,24,200,BLOCKED
2012-11-20,24,200,BLOCKED
2012-11-21,24,200,BLOCKED
2012-11-22,24,200,BLOCKED
2012-11-23,24,200,BLOCKED
2012-11-26,24,200,BLOCKED
2012-11-27,24,200,BLOCKED
2012-11-29,24,200,BLOCKED
2012-11-30,24,200,BLOCKED
2012-12-03,24,200,BLOCKED
2012-12-04,24,200,BLOCKED
2012-12-05,24,200,BLOCKED
2012-12-06,24,200,BLOCKED
2012-12-07,24,200,BLOCKED
2012-12-10,24,200,BLOCKED
2012-12-11,24,200,BLOCKED
2012-12-12,24,200,BLOCKED
2012-12-13,24,200,BLOCKED
2012-12-14,24,200,BLOCKED
2012-12-17,24,200,BLOCKED
2012-12-18,24,200,BLOCKED
2012-12-19,24,200,BLOCKED
2012-12-20,24,200,BLOCKED
2012-12-21,24,200,BLOCKED
2012-12-24,24,200,BLOCKED
2012-12-26,24,200,BLOCKED
2012-12-27,24,200,BLOCKED
2012-12-28,24,200,BLOCKED
2012-12-31,24,200,BLOCKED
2013-01-01,24,200,BLOCKED
2013-01-02,24,200,BLOCKED
2013-01-03,24,200,BLOCKED
2013-01-04,24,200,BLOCKED
2013-01-07,24,200,BLOCKED
2013-01-08,24,200,BLOCKED
2013-01-09,24,200,BLOCKED
2013-01-10,24,200,BLOCKED
2013-01-11,24,200,BLOCKED
2013-01-14,24,200,BLOCKED
2013-01-15,24,200,BLOCKED
2013-01-16,24,200,BLOCKED
2013-01-17,24,200,BLOCKED
2013-01-18,24,200,BLOCKED
2013-01-21,24,200,BLOCKED
