conflict_id,date,symbol,company,action_1,action_2,effective_date_1,effective_date_2,source_url_1,source_url_2,source_sha256_1,source_sha256_2,observation_ids,severity,difference,root_cause,correction_applied,resolution_status,notes
2b350cf856b01bc53fd09940c37d2cfd6b5a73f5fb61bc23f7ab734fb1831040,2016-09-30,PIIND,PI Industries Ltd.,ADD,,2016-09-30,,https://www.niftyindices.com/Press_Release/ind_prs12082016.pdf,,5a62ae30702b448323496a7099a40cef446941cabd1b1677af63d6ff2aef6742,,556c0bc34fd0af0f68a5491d437dddaec7db1c1edfeafff11c820ec43fe4e75f,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
50dfd5abd285373ae6a80df162b17ce5df6d93c953276fcf9ccf412479522480,2022-03-31,ABBOTINDIA,Abbott India Ltd.,ADD,,2022-03-31,,https://www.niftyindices.com/Press_Release/ind_prs24022022_1.pdf,,3091cf1c10b57bbae3b81645f5d91916a1af2bb7284902060f4640f7fb9fcd56,,9cb0f7d155ad22fdc46c027144e6a0f1aca6fab84bb5d2ac66415714bcc0d67e,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
9dd1e12e70cb27eb837cf6b98a91cf24da23c871b3eaf8320da94d8694a9966a,2024-09-30,IREDA,Indian Renewable Energy Development Agency Ltd.,ADD,,2024-09-30,,https://www.niftyindices.com/Press_Release/ind_prs23082024.pdf,,efc8eab5d129eaa2219e10b57ab9a5c3ce2d0cd7b8c5ebd2c7b6bc244a38b2b8,,9f8c8baace78599a5ad549703231fc1288fb797ebc6595e419f89e2f38101f1b,CRITICAL,Cannot add an already active instrument.,MANUAL_REVIEW,NONE,UNRESOLVED_MANUAL_REVIEW,Duplicate or same-priority assertions remain fail-closed; no row was discarded.
