period,evidence_type,snapshot_member_count,status,qa_note
2017-07,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2017-08,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2017-09,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2017-10,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2017-11,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2017-12,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-01,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-02,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-03,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-04,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-05,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-06,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-07,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-08,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-09,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-10,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-11,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2018-12,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-01,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-02,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-03,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-04,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-05,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-06,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-07,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-08,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-09,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-10,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-11,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2019-12,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2020-01,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2020-02,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2020-03,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2020-04,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2020-05,OFFICIAL_MONTHLY_WEIGHTAGE,201,BLOCKED,missing or non-200 official checkpoint
2020-06,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2020-07,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2020-08,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2020-09,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2020-10,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2020-11,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2020-12,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2021-01,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2021-02,OFFICIAL_MONTHLY_WEIGHTAGE,200,PASS,verified symbol count
2021-03,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2021-04,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2021-05,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2021-06,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
2021-07,OFFICIAL_MONTHLY_WEIGHTAGE,199,BLOCKED,missing or non-200 official checkpoint
