month,official_snapshot_found,observed_count,expected_count,source_url,archive_url,source_sha,replay_member_count,snapshot_vs_replay_diff,status,action_needed
2012-01,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-02,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-03,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-04,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-05,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-06,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-07,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-08,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-09,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-10,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-11,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2012-12,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2013-01,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2013-02,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
2013-03,FALSE,0,200,,,,,,A_NO_SNAPSHOT_EVIDENCE,retrieve an official historical checkpoint or record an external evidence gap
